,BWX,DBC,EEM,EFA,HYG,IEF,IYR,PSP,SPY,TIP
BWX,1.0,0.19111637171353568,0.6216728186319282,0.6028199237770179,0.6025554821922054,0.5808914833746113,0.5525565746673115,0.5266917827976356,0.43999365053353984,0.6751514671785581
DBC,0.19111637171353568,1.0,0.5116674783220926,0.5009218191597979,0.46188692382739527,-0.30020714105644963,0.28051832883744005,0.4533028465091692,0.4321624112038784,0.10900636052044002
EEM,0.6216728186319282,0.5116674783220926,1.0,0.8199245978084994,0.6911667866909434,0.02670378239126778,0.5840626931248823,0.750109459068963,0.6877505468513283,0.37879215159571084
EFA,0.6028199237770179,0.5009218191597979,0.8199245978084994,1.0,0.787190813780978,0.04263886999967733,0.6992915958848761,0.8953201243752301,0.8458634757896895,0.394820593315183
HYG,0.6025554821922054,0.46188692382739527,0.6911667866909434,0.787190813780978,1.0,0.18725800275384094,0.7393562930138005,0.8121572771441583,0.7935183102401888,0.5386482892758215
IEF,0.5808914833746113,-0.30020714105644963,0.02670378239126778,0.04263886999967733,0.18725800275384094,1.0,0.3165315957665168,0.022436059581381687,0.0008147855934690167,0.7541021103215636
IYR,0.5525565746673115,0.28051832883744005,0.5840626931248823,0.6992915958848761,0.7393562930138005,0.3165315957665168,1.0,0.7498355218749367,0.7547112114615039,0.5987424877035431
PSP,0.5266917827976356,0.4533028465091692,0.750109459068963,0.8953201243752301,0.8121572771441583,0.022436059581381687,0.7498355218749367,1.0,0.8916872329655672,0.4080048858047563
SPY,0.43999365053353984,0.4321624112038784,0.6877505468513283,0.8458634757896895,0.7935183102401888,0.0008147855934690167,0.7547112114615039,0.8916872329655672,1.0,0.3816251157923877
TIP,0.6751514671785581,0.10900636052044002,0.37879215159571084,0.394820593315183,0.5386482892758215,0.7541021103215636,0.5987424877035431,0.4080048858047563,0.3816251157923877,1.0
