,Weight,Weight Rank (desc),Sharpe Ratio,Sharpe Rank (desc)
SPY,1.0596322882223561,1.0,0.897102626289479,1.0
IEF,0.8811855348863742,2.0,0.2585686276618493,7.0
HYG,0.29061416373727433,3.0,0.5448733210749711,2.0
TIP,0.17529250896310128,4.0,0.4010913426705864,6.0
EFA,0.06868200043212198,5.0,0.4093719997407742,5.0
EEM,0.026436883461047774,6.0,0.16654191909114427,8.0
DBC,-0.07162264034926423,7.0,-0.031774470187294276,9.0
IYR,-0.24658222773131958,8.0,0.44414310723702527,3.0
PSP,-0.33299522139128174,9.0,0.4338041910652518,4.0
BWX,-0.8506432902304103,10.0,-0.09320174565672586,10.0
